City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Kangasala,FI,2020-09-01 03:39:03,61.46,24.08,46.4,93,0,3.36
231,Faanui,PF,2020-09-01 03:39:03,-16.48,-151.75,77.56,77,29,23.89
232,Isla Mujeres,MX,2020-09-01 03:39:04,21.23,-86.73,84.0,88,5,10.56
233,Tukrah,LY,2020-09-01 03:39:04,32.53,20.58,73.36,76,0,5.73
234,Brisbane,AU,2020-09-01 03:35:07,-27.47,153.03,78.01,56,20,13.87
235,Puerto Baquerizo Moreno,EC,2020-09-01 03:39:04,-0.9,-89.6,64.54,83,79,12.68
236,Ostrovnoy,RU,2020-09-01 03:39:04,68.05,39.51,46.0,81,61,8.34
237,Comodoro Rivadavia,AR,2020-09-01 03:39:05,-45.87,-67.5,35.6,93,14,4.9
238,Vao,NC,2020-09-01 03:39:05,-22.67,167.48,68.29,73,19,14.03
239,Bulnes,CL,2020-09-01 03:39:05,-36.74,-72.3,41.0,100,0,1.3
240,Campinas,BR,2020-09-01 03:39:06,-22.91,-47.06,68.0,72,2,17.22
241,Putina,PE,2020-09-01 03:39:06,-15.47,-69.43,41.52,76,68,8.41
242,Timoteo,BR,2020-09-01 03:39:06,-19.58,-42.64,67.93,79,26,1.68
243,Torbay,CA,2020-09-01 03:35:23,47.67,-52.73,53.01,93,90,13.87
244,Yenotayevka,RU,2020-09-01 03:39:06,47.25,47.03,75.9,42,0,10.87
245,Constitucion,CL,2020-09-01 03:39:07,-35.33,-72.42,45.28,83,0,4.54
246,Omboue,GA,2020-09-01 03:39:07,-1.57,9.26,73.2,85,94,8.1
247,El Tigre,VE,2020-09-01 03:39:07,8.89,-64.25,74.52,81,100,2.73
248,Shache,CN,2020-09-01 03:39:08,38.42,77.24,81.75,21,18,9.28
249,La Libertad,EC,2020-09-01 03:39:08,-2.23,-80.9,67.48,86,100,10.83
250,Groningen,NL,2020-09-01 03:38:58,53.25,6.75,55.0,93,41,1.12
251,Ust-Koksa,RU,2020-09-01 03:39:08,50.27,85.61,65.73,46,0,1.05
252,Lyamino,RU,2020-09-01 03:39:08,58.28,57.73,63.5,94,100,7.38
253,Nahrin,AF,2020-09-01 03:39:09,36.06,69.13,74.75,20,0,3.65
254,Raudeberg,NO,2020-09-01 03:39:09,61.99,5.14,50.0,87,45,6.93
255,Ambulu,ID,2020-09-01 03:39:09,-8.35,113.61,83.61,66,35,9.1
256,Svetlyy,RU,2020-09-01 03:39:10,54.67,20.13,57.0,87,40,4.47
257,Kemijarvi,FI,2020-09-01 03:39:10,66.71,27.43,41.94,84,49,3.13
258,Esna,EG,2020-09-01 03:39:10,25.29,32.55,82.4,37,0,3.36
259,Yatou,CN,2020-09-01 03:39:10,37.15,122.38,74.26,93,94,5.77
260,Gizo,SB,2020-09-01 03:39:11,-8.1,156.84,83.91,79,93,13.76
261,Avera,US,2020-09-01 03:39:11,33.19,-82.53,78.8,75,1,3.36
262,Tolaga Bay,NZ,2020-09-01 03:39:11,-38.37,178.3,63.25,56,0,7.61
263,Yinchuan,CN,2020-09-01 03:39:12,38.47,106.27,77.68,29,70,14.54
264,Joshimath,IN,2020-09-01 03:39:12,30.57,79.57,75.67,40,1,4.97
265,Bam,IR,2020-09-01 03:39:12,29.11,58.36,78.66,17,0,16.13
266,Iwanai,JP,2020-09-01 03:39:12,42.97,140.51,73.04,59,14,9.17
267,Sungaipenuh,ID,2020-09-01 03:39:13,-2.08,101.38,81.0,53,73,2.37
268,Lasa,IT,2020-09-01 03:39:13,46.62,10.7,46.4,93,75,6.93
269,Okha,RU,2020-09-01 03:39:13,53.57,142.95,56.19,95,100,14.7
270,Jodiya,IN,2020-09-01 03:39:13,22.69,70.31,82.0,10,8,13.71
271,Belmonte,BR,2020-09-01 03:39:14,-15.86,-38.88,71.6,88,75,2.24
272,Xuanhua,CN,2020-09-01 03:39:14,40.61,115.04,77.94,33,0,4.27
273,Yarensk,RU,2020-09-01 03:39:14,62.17,49.09,49.23,96,100,3.47
274,Matara,LK,2020-09-01 03:39:14,5.95,80.54,84.27,68,96,11.36
275,Uarini,BR,2020-09-01 03:39:15,-2.99,-65.11,73.42,96,23,2.46
276,Gondanglegi,ID,2020-09-01 03:39:15,-7.75,112.01,89.8,47,6,14.94
277,Pfullendorf,DE,2020-09-01 03:39:15,47.92,9.25,55.99,99,78,1.07
278,Boa Vista,BR,2020-09-01 03:39:16,2.82,-60.67,78.8,78,0,4.7
279,Tuktoyaktuk,CA,2020-09-01 03:39:16,69.45,-133.04,51.8,81,90,6.93
280,Borogontsy,RU,2020-09-01 03:39:16,62.67,131.17,67.73,47,21,2.06
281,Namatanai,PG,2020-09-01 03:39:16,-3.67,152.43,83.23,74,88,5.01
282,Dreux,FR,2020-09-01 03:39:17,48.67,1.25,52.0,93,4,2.24
283,Tomatlan,MX,2020-09-01 03:39:17,19.93,-105.25,75.45,93,100,1.99
284,Cotonou,BJ,2020-09-01 03:37:00,6.37,2.42,77.0,88,40,12.75
285,Khandyga,RU,2020-09-01 03:39:17,62.67,135.6,65.95,55,28,1.39
286,Kvitok,RU,2020-09-01 03:39:18,56.07,98.48,66.0,62,12,7.58
287,Clyde River,CA,2020-09-01 03:39:18,70.47,-68.59,41.0,65,1,6.93
288,Analipsis,GR,2020-09-01 03:39:18,35.32,25.57,82.99,69,0,4.7
289,Lithgow,AU,2020-09-01 03:39:18,-33.48,150.15,64.0,51,40,2.24
290,Chase,CA,2020-09-01 03:39:19,50.82,-119.69,61.0,77,81,1.74
291,Kharp,RU,2020-09-01 03:39:19,66.8,65.81,47.75,80,100,1.59
292,Nebolchi,RU,2020-09-01 03:39:19,59.12,33.35,54.14,98,100,6.33
293,Betare Oya,CM,2020-09-01 03:39:19,5.6,14.08,65.89,97,100,3.67
294,Nouadhibou,MR,2020-09-01 03:39:20,20.93,-17.03,69.8,83,0,12.75
295,Haines Junction,CA,2020-09-01 03:39:20,60.75,-137.51,46.44,77,51,6.6
296,Vila Velha,BR,2020-09-01 03:39:20,-20.33,-40.29,73.0,94,91,3.36
